subject,modality,trial,signal,response,accuracy,confidence,rt,rt_conf,contrast,repeat_exclude
34,Calories,108,0,0,1,6,2.37915670000029,0.721512899999652,150,0
34,GDP,109,1,1,1,5,1.24789086005194,0.936966499999926,1.5,0
34,Calories,110,1,0,0,6,0.999291200000243,1.07037709999986,175,0
34,GDP,111,0,0,1,7,1.61368144667085,0.938092800000049,1.5,0
34,Calories,112,1,1,1,7,1.69158419999985,1.85459330000003,175,0
34,Calories,113,0,0,1,7,3.00822162669692,1.92031580000003,150,0
34,GDP,114,0,0,1,5,1.40351700032443,1.2706933999998,1.375,0
34,GDP,115,0,0,1,5,1.1008894600518,1.33714019999979,1.375,1
34,Calories,116,0,1,0,5,2.40826659999993,1.07159319999982,175,0
34,Calories,117,0,0,1,6,1.09361050000007,0.887497499999881,175,1
34,Calories,118,0,0,1,7,1.61517240000012,0.838388299999679,150,0
34,Calories,119,0,0,1,7,1.00908728015565,1.07049640000014,150,0
34,GDP,120,0,0,1,6,1.01911832676205,1.35371619999978,1.25,0
34,Calories,121,1,0,0,7,1.00394840000035,0.772190399999999,175,0
34,GDP,122,0,0,1,7,0.851746300000286,1.37128849999999,1.25,0
34,GDP,123,0,0,1,7,0.973927999999887,0.821334100000058,1.125,0
34,Calories,124,0,0,1,5,1.40012769999976,0.509704499999771,175,0
34,Calories,125,0,1,0,6,1.40550190000022,1.05590670000038,200,0
34,Calories,126,1,0,0,6,2.82317310000008,1.03920579999976,225,0
34,Calories,127,0,0,1,3,0.935831593601506,0.622595899999851,225,0
34,Calories,128,1,1,1,7,1.50184680000029,1.20661900000005,200,0
34,GDP,129,1,1,1,7,1.31247365358831,0.937926000000061,1.125,1
34,GDP,130,1,1,1,5,1.25106959999994,1.35374439999987,1,0
34,GDP,131,1,0,0,4,1.49907435352361,0.839334200000394,1.125,0
34,Calories,132,0,1,0,5,1.44875490000004,1.93872869999996,225,0
34,Calories,133,0,1,0,7,2.34950848015569,1.42059410000002,250,0
34,Calories,134,0,0,1,7,0.947882206852228,1.2372292,250,0
34,Calories,135,1,1,1,6,1.97797778681388,0.871152000000166,225,0
34,Calories,136,0,0,1,6,0.903708133419968,1.13931839999987,225,0
34,GDP,137,0,0,1,5,0.906028100000185,1.6370465,1.125,0
34,Calories,138,0,0,1,4,0.88478299999997,1.13689290000002,200,0
34,Calories,139,0,0,1,7,1.00493458681376,0.92299469999989,200,0
34,Calories,140,1,1,1,4,2.1262640002592,1.37113619999991,175,0
34,Calories,141,1,1,1,4,2.21585359999972,1.03860869999971,175,0
34,GDP,142,0,0,1,4,1.28504705365322,0.88896109999996,1,1
34,Calories,143,0,0,1,2,1.35576810006523,1.05600929999991,150,0
34,GDP,144,1,1,1,4,1.00780489999988,0.787961500000165,1,1
34,Calories,145,1,1,1,5,1.9496829001946,1.02109640000026,150,0
34,GDP,146,1,1,1,5,1.25336030000017,1.47064239999963,0.875,0
34,Calories,147,0,1,0,4,1.90204519999998,1.43968780000023,175,0
34,Calories,148,1,1,1,7,2.95869549999998,1.15369640000017,175,0
34,Calories,149,1,1,1,4,1.36836689999973,1.74118500000031,150,0
34,Calories,150,1,0,0,6,2.08275029347169,2.07217530000025,175,0
34,Calories,151,0,1,0,4,1.27717489999986,1.57229640000014,200,0
34,GDP,152,0,1,0,3,2.96536329999981,1.22146089999978,1,0
34,Calories,153,1,0,0,4,1.52472200000011,1.47030069999983,225,1
34,Calories,154,0,1,0,2,1.57661070025961,1.43764090000013,250,0
34,GDP,155,1,0,0,1,1.47268630685221,1.48961580000014,1.125,0
34,Calories,156,1,1,1,5,1.13061080000034,1.20577360000016,250,0
34,Calories,157,0,0,1,7,1.37433749999991,0.788040700000238,225,0
34,GDP,158,1,0,0,5,2.04204034673603,0.772273399999904,1.25,0
34,Calories,159,1,1,1,6,1.47059483341991,1.02098500000011,225,0
34,GDP,160,0,0,1,6,0.834697100000085,1.5537789,1.25,0
34,GDP,161,0,0,1,6,2.06043259999979,1.03847560000031,1.125,0
34,GDP,162,0,0,1,7,1.32432540000036,0.921298499999921,1.125,0
34,Calories,163,0,0,1,1,1.37727079999968,0.857658099999753,200,0
34,Calories,164,0,0,1,6,1.69703094673559,1.60614900000019,200,0
34,Calories,165,1,1,1,5,0.917275074146346,0.770659799999976,175,0
34,Calories,166,0,0,1,1,0.877339060181839,0.789188199999899,175,0
34,GDP,167,0,1,0,1,1.71868429999995,0.870528500000091,1.25,0
34,Calories,168,1,1,1,5,1.39214549999997,1.05608819999998,150,0
34,Calories,169,1,1,1,5,1.05932100000018,1.10776740000028,150,0
34,Calories,170,0,0,1,5,0.947670540207582,0.972879800000101,125,0
34,GDP,171,1,1,1,1,3.11882629999991,1.33709339999996,1.25,0
34,Calories,172,0,0,1,5,1.28523439999981,1.46867920000022,125,0
34,Calories,173,0,1,0,1,0.799489699999867,2.03709010000011,150,0
34,Calories,174,1,0,0,4,1.3625215803504,1.13839140000027,175,1
34,Calories,175,0,0,1,5,0.835735681582719,1.35487509999984,175,1
34,GDP,176,1,1,1,1,1.86764797356273,1.00531679999995,1.125,0
34,GDP,177,1,0,0,3,1.02083288028507,1.43731560000015,1.25,0
